SQL> SELECT A.JOB_NAME,'|',A.OWNER,'|',T.SCHED_TABLE
  2  FROM DEF_JOB A , DEF_TABLES T
  3  WHERE T.TABLE_ID = A.TABLE_ID and T.SCHED_TABLE not like '%TMP%' and A.APPL_TYPE <> 'FILE_TRANS' and ( A.NODE_ID like 'bastion2c' or A.NODE_ID like 'BASTION2C')
  4  order by A.OWNER;
M1_BAIT15_FTP                                                    | BAIT01_INVSAP                  | SGU_LOGISTICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DM_SYNIVERSE_B2C_FTP                                             | \\doc                          | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TRAE_DESENC_ADMINSJ                                              | adminsj                        | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRAE_DESENC_ADMINSJ_88F                                          | adminsj                        | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRAE_DESENC_AMEXPAY_AMX                                          | amexpay                        | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRAE_DESENC_AMEXPAY_AMF                                          | amexpay                        | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MIGRA_SCP_BASTION2C_BASTION1C                                    | apeciti                        | MIGRA_MOVIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
